*************************************
** StoreKeeper project : Timesheet **
*************************************

To Date								 Hours
------------------------------------------
2013-10-09								20
2013-10-12								10
2013-10-14								2
2013-10-25								18
2013-11-10								6
2013-11-18								5
2013-12-31								5
2014-01-12								20
2014-01-16								8
2014-01-26								18
2014-01-28								3
2014-02-12								10
2014-02-25								6
2014-02-26								4
2014-03-03								10
2014-03-04								5
2014-03-05								4
2014-03-06								3
2014-03-09								2
2014-03-10								3
2014-03-12								5
2014-03-17								2
2014-03-18								3
2014-03-19								3
2014-03-23								7
2014-03-31								9
2014-04-06								15
2014-04-08								6
2014-04-09								5
2014-04-13								15
2014-04-21								7
2014-04-27								7
2014-04-29								6
2014-04-30								3
2014-05-06								18
2014-05-12								9
2014-05-14								5
2014-05-21								10
2014-06-06								25
2014-06-07								5
2014-06-27								30
2014-10-05                30
